name,eng_name,other_name,category
南极环极洋流,Antarctic Circumpolar Current,西风漂流
福克兰寒流,Falkland Current,,cold current
威德尔海环流,Weddell Gyre,
本格拉凉流,Benguela Current,,cold current
印度季风洋流,,西南和东北季风漂流,
西澳凉流,West Australian Current,,cold current
南赤道洋流,South Equatorial Current,
塔斯曼洋流,Tasman Outflow,
东澳暖流,East Australian Current,东澳大利亚暖流,warm current
秘鲁凉流,Humboldt Current,洪鲍特洋流,cold current
巴西暖流,North Brazil Current,,warm current
阿古拉斯暖流,Agulhas Current,厄加勒斯暖流,warm current
索马里洋流,Somali Current,,cold current
赤道逆流,Equatorial Counter Current
莫桑比克暖流,Mozambique Current,,warm current
东马达加斯加暖流,East Madagascar Current,,warm current
几内亚暖流,Guinea Current,,warm current
北赤道洋流,North Equatorial Current,
民答那峨洋流,Mindanao Current,
加利福尼亚凉流,California Current,,cold current
加勒比暖流,Caribbean Current,,warm current
黑潮,Kuroshio Current,日本暖流,warm current
北太平洋暖流,North Pacific Current,
墨西哥湾暖流,Gulf Stream,,warm current
加那利凉流,Canary Current,,cold current
北大西洋暖流,North Atlantic Current,
拉布拉多寒流,Labrador Current,,cold current
亲潮,Oyashio Current,千岛寒流,cold current
阿拉斯加暖流,Alaska Current,,warm current
东格陵兰寒流,West Greenland Current,,cold current
堪察加寒流,Kamchatka Current,,cold current